date,is_weekend,is_holiday,admin_type,district,population,area_km2,vehicle_count,temperature,rainfall,humidity,air_quality,special_event,traffic_congestion_level
08/01/2022,TRUE,FALSE,Quận,Thanh Xuân,293524,91,294969,276,161,78,148,0,75
08/01/2022,TRUE,FALSE,Quận,Hoàng Mai,506347,403,511360,261,157,74,101,0,72
08/01/2022,TRUE,FALSE,Quận,Long Biên,322549,599,328753,261,142,67,95,0,74
08/01/2022,TRUE,FALSE,Quận,Nam Từ Liêm,264246,322,264271,263,137,81,132,0,56
08/01/2022,TRUE,FALSE,Quận,Bắc Từ Liêm,335110,453,340103,254,156,65,87,0,71
08/01/2022,TRUE,FALSE,Quận,Hà Đông,397854,483,400115,255,176,69,148,0,63
08/01/2022,TRUE,FALSE,Huyện,Thanh Trì,275745,63,284468,257,161,79,145,0,41
08/01/2022,TRUE,FALSE,Huyện,Gia Lâm,286102,115,288986,247,169,71,100,0,48
08/01/2022,TRUE,FALSE,Huyện,Đông Anh,405749,182,405791,249,144,78,88,0,55
08/01/2022,TRUE,FALSE,Huyện,Sóc Sơn,343432,306,345200,264,151,72,91,3,19
08/01/2022,TRUE,FALSE,Huyện,Ba Vì,424030,424,434621,252,167,65,87,0,42
08/01/2022,TRUE,FALSE,Huyện,Phúc Thọ,117190,117,119023,254,131,72,109,0,47
08/01/2022,TRUE,FALSE,Huyện,Thạch Thất,184590,184,188909,239,179,71,149,0,24
08/01/2022,TRUE,FALSE,Huyện,Quốc Oai,147910,148,152680,259,157,79,138,0,45
08/01/2022,TRUE,FALSE,Huyện,Chương Mỹ,232410,232,234442,244,148,74,148,0,30
08/01/2022,TRUE,FALSE,Huyện,Đan Phượng,77350,77,79034,259,145,77,146,0,38
08/01/2022,TRUE,FALSE,Huyện,Hoài Đức,82470,82,82919,251,165,72,136,0,67
08/01/2022,TRUE,FALSE,Huyện,Mỹ Đức,226200,226,229084,255,160,74,122,0,20
08/01/2022,TRUE,FALSE,Huyện,Ứng Hòa,183750,184,184233,253,174,79,88,0,50
08/01/2022,TRUE,FALSE,Huyện,Thường Tín,127390,127,128202,252,140,78,142,0,17
08/01/2022,TRUE,FALSE,Huyện,Phú Xuyên,171100,171,178791,255,121,77,149,0,35
08/01/2022,TRUE,FALSE,Huyện,Mê Linh,240555,142,243464,273,177,72,98,0,47
08/01/2022,TRUE,FALSE,Huyện,Sơn Tây,145856,113,146957,257,130,72,110,2,21
09/01/2022,FALSE,FALSE,Quận,Ba Đình,221893,92,45195,261,158,76,122,0,80
09/01/2022,FALSE,FALSE,Quận,Hoàn Kiếm,135618,53,136048,263,153,73,136,0,71
09/01/2022,FALSE,FALSE,Quận,Hai Bà Trưng,303586,101,309413,268,124,67,94,2,78
09/01/2022,FALSE,FALSE,Quận,Đống Đa,371606,99,375571,27,133,66,83,0,73
09/01/2022,FALSE,FALSE,Quận,Tây Hồ,160495,244,291577,254,124,80,143,0,53
09/01/2022,FALSE,FALSE,Quận,Cầu Giấy,292536,123,299004,273,177,80,98,0,93
09/01/2022,FALSE,FALSE,Quận,Thanh Xuân,293524,91,294969,276,178,80,137,0,75
09/01/2022,FALSE,FALSE,Quận,Hoàng Mai,506347,403,511360,261,141,67,82,0,72
09/01/2022,FALSE,FALSE,Quận,Long Biên,322549,599,328753,261,174,77,140,0,74
09/01/2022,FALSE,FALSE,Quận,Nam Từ Liêm,264246,322,264271,263,139,71,88,0,56
09/01/2022,FALSE,FALSE,Quận,Bắc Từ Liêm,335110,453,340103,254,134,74,102,0,71
09/01/2022,FALSE,FALSE,Quận,Hà Đông,397854,483,400115,255,134,65,121,0,63
09/01/2022,FALSE,FALSE,Huyện,Thanh Trì,275745,63,284468,257,126,80,148,0,41
09/01/2022,FALSE,FALSE,Huyện,Gia Lâm,286102,115,288986,247,146,83,134,0,48
09/01/2022,FALSE,FALSE,Huyện,Đông Anh,405749,182,405791,249,155,70,133,0,55
09/01/2022,FALSE,FALSE,Huyện,Sóc Sơn,343432,306,345200,264,173,81,118,0,19
09/01/2022,FALSE,FALSE,Huyện,Ba Vì,424030,424,434621,252,130,73,99,0,42
09/01/2022,FALSE,FALSE,Huyện,Phúc Thọ,117190,117,119023,254,158,65,97,4,47
09/01/2022,FALSE,FALSE,Huyện,Thạch Thất,184590,184,188909,239,143,69,141,2,24
09/01/2022,FALSE,FALSE,Huyện,Quốc Oai,147910,148,152680,259,163,79,121,0,45
09/01/2022,FALSE,FALSE,Huyện,Chương Mỹ,232410,232,234442,244,165,78,139,0,30
09/01/2022,FALSE,FALSE,Huyện,Đan Phượng,77350,77,79034,259,170,65,111,0,38
09/01/2022,FALSE,FALSE,Huyện,Hoài Đức,82470,82,82919,251,176,66,88,5,67
09/01/2022,FALSE,FALSE,Huyện,Mỹ Đức,226200,226,229084,255,174,67,96,0,20
09/01/2022,FALSE,FALSE,Huyện,Ứng Hòa,183750,184,184233,253,172,74,123,0,50
09/01/2022,FALSE,FALSE,Huyện,Thường Tín,127390,127,128202,252,173,70,128,0,17
09/01/2022,FALSE,FALSE,Huyện,Phú Xuyên,171100,171,178791,255,147,73,113,0,35
09/01/2022,FALSE,FALSE,Huyện,Mê Linh,240555,142,243464,273,120,79,104,0,47
09/01/2022,FALSE,FALSE,Huyện,Sơn Tây,145856,113,146957,257,139,84,131,0,21
10/01/2022,FALSE,FALSE,Quận,Ba Đình,221893,92,45195,261,132,82,110,0,80
10/01/2022,FALSE,FALSE,Quận,Hoàn Kiếm,135618,53,136048,263,138,75,147,0,71
10/01/2022,FALSE,FALSE,Quận,Hai Bà Trưng,303586,101,309413,268,179,76,145,0,78
10/01/2022,FALSE,FALSE,Quận,Đống Đa,371606,99,375571,27,126,66,86,0,73
10/01/2022,FALSE,FALSE,Quận,Tây Hồ,160495,244,291577,254,132,68,86,0,53
10/01/2022,FALSE,FALSE,Quận,Cầu Giấy,292536,123,299004,273,138,78,139,0,93
10/01/2022,FALSE,FALSE,Quận,Thanh Xuân,293524,91,294969,276,175,69,132,0,75
10/01/2022,FALSE,FALSE,Quận,Hoàng Mai,506347,403,511360,261,170,84,136,0,72
10/01/2022,FALSE,FALSE,Quận,Long Biên,322549,599,328753,261,158,67,98,0,74
10/01/2022,FALSE,FALSE,Quận,Nam Từ Liêm,264246,322,264271,263,131,80,93,0,56
10/01/2022,FALSE,FALSE,Quận,Bắc Từ Liêm,335110,453,340103,254,143,83,124,0,71
10/01/2022,FALSE,FALSE,Quận,Hà Đông,397854,483,400115,255,153,82,132,0,63
10/01/2022,FALSE,FALSE,Huyện,Thanh Trì,275745,63,284468,257,173,65,134,0,41
10/01/2022,FALSE,FALSE,Huyện,Gia Lâm,286102,115,288986,247,148,65,120,0,48
10/01/2022,FALSE,FALSE,Huyện,Đông Anh,405749,182,405791,249,150,75,138,0,55
10/01/2022,FALSE,FALSE,Huyện,Sóc Sơn,343432,306,345200,264,177,66,129,0,19
